Symbol,Spread Pips,Spread Pips mini,pip diff,
EUR/USD,-1.8,-2.2,0.2,
USD/JPY,-1.8,-2,0.1,
GBP/USD,-1.8,-2,0.1,
USD/CHF,-1.8,-2,0.1,
EUR/CHF,-1.4,-2,0.3,
AUD/USD,-1.4,-2,0.3,
USD/CAD,-1.4,-2,0.3,
NZD/USD,-1.4,-2,0.3,
EUR/GBP,-1.4,-2,0.3,
EUR/JPY,-1.6,-2.2,0.3,
GBP/JPY,-2.4,-3,0.3,
CHF/JPY,-1.6,-2.4,0.4,
GBP/CHF,-1.6,-2.2,0.3,
EUR/AUD,-1.6,-2.2,0.3,
EUR/CAD,-1.6,-2.2,0.3,
AUD/CAD,-1.6,-2.4,0.4,
AUD/JPY,-1.6,-2.2,0.3,
CAD/JPY,-1.6,-2.4,0.4,
NZD/JPY,-1.8,-3,0.6,
GBP/CAD,-1.6,-2.4,0.4,
GBP/NZD,-1.6,-2.4,0.4,
GBP/AUD,-1.6,-2.4,0.4,
AUD/NZD,-1.4,-2,0.3,
USD/SEK,0,-6,3,
USD/DKK,0,-4,2,
EUR/SEK,0,-6,3,
EUR/NOK,0,-6,3,
USD/NOK,0,-6,3,
USD/MXN,0,-6,3,
AUD/CHF,-1.6,-2.4,0.4,
EUR/NZD,-1.6,-2.2,0.3,
EUR/PLN,0,-4,2,
USD/PLN,0,-4,2,
EUR/CZK,0,-4,2,
USD/CZK,0,-4,2,
USD/ZAR,0,-6,3,
USD/SGD,0,-4.2,2.1,
USD/SKK,0,0,0,
USD/HKD,0,-6,3,
EUR/DKK,0,-4,2,
GBP/DKK,0,0,0,
GBP/NOK,0,0,0,
GBP/SEK,0,-4,2,
GBP/MXN,0,0,0,
GBP/SGD,0,0,0,
GBP/HKD,0,0,0,
GBP/ZAR,0,0,0,
DKK/JPY,0,0,0,
NOK/JPY,0,-4,2,
SEK/JPY,0,-4,2,
MXN/JPY,0,0,0,
SGD/JPY,0,-3,1.5,
HKD/JPY,0,-2.4,1.2,
ZAR/JPY,0,-6,3,
EUR/MXN,0,0,0,
EUR/SGD,0,0,0,
EUR/HKD,0,0,0,
EUR/ZAR,0,0,0,
AUD/DKK,0,0,0,
AUD/NOK,0,0,0,
AUD/SEK,0,0,0,
AUD/MXN,0,0,0,
AUD/SGD,0,0,0,
AUD/HKD,0,0,0,
AUD/ZAR,0,0,0,
USD/TRY,0,-6,3,
AED/USD,0,0,0,
BHD/USD,0,0,0,
NOK/SEK,0,0,0,
EUR/TRY,0,-6,3,
NZD/CHF,-2.4,-6,1.8,
CAD/CHF,-2.4,-6,1.8,
NZD/CAD,-1.8,-2.4,0.3,
CHF/SEK,0,-4,2,
CHF/NOK,0,-4,2,
USD/RUB,0,0,0,
EUR/HUF,0,-6,3,
USD/HUF,0,-6,3,
TRY/JPY,0,-6,3,
USD/ILS,0,-20,10,
HKD/CAD,0,0,0,
NZD/HKD,0,0,0,
USD/THB,0,0,0,
EUR/RUB,0,0,0,
USD/CNH,-1.8,-20,9.1,
USD/ARS,0,0,0,
USD/BRL,0,0,0,
USD/CLP,0,0,0,
USD/CNY,0,0,0,
USD/COP,0,0,0,
USD/EGP,0,0,0,
USD/IDR,0,0,0,
USD/INR,0,0,0,
USD/KRW,0,0,0,
USD/KZT,0,0,0,
USD/MYR,0,0,0,
USD/PEN,0,0,0,
USD/PHP,0,0,0,
USD/RON,0,0,0,
USD/TWD,0,0,0,
USD/UAH,0,0,0,
CNH/JPY,0,0,0,
USD/PST,0,0,0,
